BASE_YEAR,ADM_DR_CD,ADM_DR_NM,work 창원시 읍면동별 직장인구 None_gu,work 창원시 읍면동별 직장인구 None_pop,work 창원시 읍면동별 직장인구 None_Field4,work 창원시 읍면동별 직장인구 None_Field5,work 창원시 읍면동별 직장인구 None_Field6,work 창원시 읍면동별 직장인구 None_Field7,work 창원시 읍면동별 직장인구 None_Field8,work 창원시 읍면동별 직장인구 None_Field9,work 창원시 읍면동별 직장인구 None_Field10,work 창원시 읍면동별 직장인구 None_Field11,work 창원시 읍면동별 직장인구 None_Field12,work 창원시 읍면동별 직장인구 None_Field13,work 창원시 읍면동별 직장인구 None_Field14,work 창원시 읍면동별 직장인구 None_Field15,work 창원시 읍면동별 직장인구 None_Field16,work 창원시 읍면동별 직장인구 None_Field17
"2018","3811155",용지동,의창구,"18567",,,,,,,,,,,,,,
"2018","3811251",반송동,성산구,"4943",,,,,,,,,,,,,,
"2018","3811252",중앙동,진해구,"1309",,,,,,,,,,,,,,
"2018","3811253",상남동,성산구,"16357",,,,,,,,,,,,,,
"2018","3811254",사파동,성산구,"8363",,,,,,,,,,,,,,
"2018","3811255",가음정동,성산구,"10179",,,,,,,,,,,,,,
"2018","3811256",성주동,성산구,"23014",,,,,,,,,,,,,,
"2018","3811257",웅남동,성산구,"57177",,,,,,,,,,,,,,
"2018","3811331",구산면,마산합포구,"1461",,,,,,,,,,,,,,
"2018","3811332",진동면,마산합포구,"3433",,,,,,,,,,,,,,
"2018","3811333",진북면,마산합포구,"4771",,,,,,,,,,,,,,
"2018","3811334",진전면,마산합포구,"1279",,,,,,,,,,,,,,
"2018","3811351",현동,마산합포구,"2937",,,,,,,,,,,,,,
"2018","3811352",가포동,마산합포구,"910",,,,,,,,,,,,,,
"2018","3811353",월영동,마산합포구,"7133",,,,,,,,,,,,,,
"2018","3811354",문화동,마산합포구,"3490",,,,,,,,,,,,,,
"2018","3811366",반월중앙동,마산합포구,"5495",,,,,,,,,,,,,,
"2018","3811357",완월동,마산합포구,"2490",,,,,,,,,,,,,,
"2018","3811358",자산동,마산합포구,"1689",,,,,,,,,,,,,,
"2018","3811367",오동동,마산합포구,"16635",,,,,,,,,,,,,,
"2018","3811361",교방동,마산합포구,"1393",,,,,,,,,,,,,,
"2018","3811362",노산동,마산합포구,"1642",,,,,,,,,,,,,,
"2018","3811364",합포동,마산합포구,"1731",,,,,,,,,,,,,,
"2018","3811365",산호동,마산합포구,"7620",,,,,,,,,,,,,,
"2018","3811411",내서읍,마산회원구,"18263",,,,,,,,,,,,,,
"2018","3811451",회원1동,마산회원구,"3212",,,,,,,,,,,,,,
"2018","3811452",회원2동,마산회원구,"1382",,,,,,,,,,,,,,
"2018","3811463",석전동,마산회원구,"8689",,,,,,,,,,,,,,
"2018","3811455",회성동,마산회원구,"2660",,,,,,,,,,,,,,
"2018","3811456",양덕1동,마산회원구,"2112",,,,,,,,,,,,,,
"2018","3811457",양덕2동,마산회원구,"6919",,,,,,,,,,,,,,
"2018","3811458",합성1동,마산회원구,"2203",,,,,,,,,,,,,,
"2018","3811459",합성2동,마산회원구,"6980",,,,,,,,,,,,,,
"2018","3811460",구암1동,마산회원구,"1439",,,,,,,,,,,,,,
"2018","3811461",구암2동,마산회원구,"2017",,,,,,,,,,,,,,
"2018","3811462",봉암동,마산회원구,"13994",,,,,,,,,,,,,,
"2018","3811551",중앙동,진해구,"1309",,,,,,,,,,,,,,
"2018","3811552",태평동,진해구,"1423",,,,,,,,,,,,,,
"2018","3811553",충무동,진해구,"2672",,,,,,,,,,,,,,
"2018","3811554",여좌동,진해구,"2009",,,,,,,,,,,,,,
"2018","3811555",태백동,진해구,"694",,,,,,,,,,,,,,
"2018","3811556",경화동,진해구,"1254",,,,,,,,,,,,,,
"2018","3811557",병암동,진해구,"1374",,,,,,,,,,,,,,
"2018","3811558",석동,진해구,"5112",,,,,,,,,,,,,,
"2018","3811559",이동,진해구,"2343",,,,,,,,,,,,,,
"2018","3811560",자은동,진해구,"1602",,,,,,,,,,,,,,
"2018","3811561",덕산동,진해구,"2218",,,,,,,,,,,,,,
"2018","3811562",풍호동,진해구,"3593",,,,,,,,,,,,,,
"2018","3811563",웅천동,진해구,"6235",,,,,,,,,,,,,,
"2018","3811564",웅동1동,진해구,"4460",,,,,,,,,,,,,,
"2018","3811565",웅동2동,진해구,"9073",,,,,,,,,,,,,,
"2018","3811111",동읍,의창구,"4644",,,,,,,,,,,,,,
"2018","3811131",북면,의창구,"6473",,,,,,,,,,,,,,
"2018","3811132",대산면,의창구,"4627",,,,,,,,,,,,,,
"2018","3811151",의창동,의창구,"8702",,,,,,,,,,,,,,
"2018","3811152",팔룡동,의창구,"42960",,,,,,,,,,,,,,
"2018","3811153",명곡동,의창구,"18126",,,,,,,,,,,,,,
"2018","3811154",봉림동,의창구,"12420",,,,,,,,,,,,,,
