gu,dong,pop
마산합포구,구산면,2040 
마산합포구,진동면,7171 
마산합포구,진북면,1772 
마산합포구,진전면,1675 
마산합포구,현동,8580 
마산합포구,가포동,358 
마산합포구,월영동,19364 
마산합포구,문화동,6740 
마산합포구,반월중앙동,8818 
마산합포구,완월동,5509 
마산합포구,자산동,6432 
마산합포구,교방동,4833 
마산합포구,노산동,3346 
마산합포구,오동동,11457 
마산합포구,합포동,4047 
마산합포구,산호동,7773 
마산회원구,내서읍,41606 
마산회원구,회원1동,5952 
마산회원구,회원2동,4241 
마산회원구,석전동,7786 
마산회원구,회성동,3621 
마산회원구,양덕1동,6949 
마산회원구,양덕2동,19924 
마산회원구,합성1동,5952 
마산회원구,합성2동,4934 
마산회원구,구암1동,5664 
마산회원구,구암2동,6045 
마산회원구,봉암동,2239 
성산구,반송동,27897 
성산구,중앙동,17238 
성산구,상남동,19660 
성산구,사파동,32040 
성산구,가음정동,29081 
성산구,성주동,18583 
성산구,웅남동,5140 
의창구,동읍,12113 
의창구,북면,25678 
의창구,대산면,3812 
의창구,의창동,23524 
의창구,팔룡동,25289 
의창구,명곡동,29676 
의창구,봉림동,20480 
의창구,용지동,21092 
진해구,중앙동,4884 
진해구,태평동,3378 
진해구,충무동,1893 
진해구,여좌동,4552 
진해구,태백동,2758 
진해구,경화동,6675 
진해구,병암동,4407 
진해구,석동,10739 
진해구,이동,5224 
진해구,자은동,13206 
진해구,덕산동,5932 
진해구,풍호동,15497 
진해구,웅천동,6615 
진해구,웅동1동,3765 
진해구,웅동2동,23610 
